model,strategy,encoding,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,positive_smell_recall_mean,positive_smell_recall_std,top_1_positive_count_mean,top_1_positive_count_std,top_5_positive_count_mean,top_5_positive_count_std,top_10_positive_count_mean,top_10_positive_count_std,recall
logistic_regression,class_weight,sbert_tfidf_weighted,7,0.7068427370948379,0.06079433665847155,0.2031746031746032,0.05687769164180609,0.3095238095238095,0.10497813183356479,0.2381758297724684,0.06750394387763102,0.3095238095238095,0.10497813183356479,1.5714285714285714,0.4948716593053935,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.3095238095238095
logistic_regression,random_undersample,sbert_tfidf_weighted,7,0.5753901560624249,0.07434510926662394,0.17678808365451443,0.06699747882487733,0.5333333333333333,0.26186146828319085,0.2628871128871129,0.10827915093208076,0.5333333333333333,0.26186146828319085,2.7142857142857144,1.2777531299998799,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.5333333333333333
random_forest,none,sbert_tfidf_weighted,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,class_weight,sbert_tfidf_weighted,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,random_undersample,sbert_tfidf_weighted,7,0.5915966386554622,0.09476709558172403,0.2053226639692805,0.06963934246044827,0.5904761904761904,0.2237588595137282,0.30143202208419595,0.10070031524716073,0.5904761904761904,0.2237588595137282,3.0,1.0690449676496976,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.5904761904761904
knn,none,sbert_tfidf_weighted,7,0.8303721488595438,0.02017021082760116,0.23809523809523808,0.34338583575847514,0.08095238095238096,0.09404008408634047,0.11224489795918367,0.1300770284079792,0.08095238095238096,0.09404008408634047,0.42857142857142855,0.49487165930539345,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.08095238095238096
knn,class_weight,sbert_tfidf_weighted,7,0.8303721488595438,0.02017021082760116,0.23809523809523808,0.34338583575847514,0.08095238095238096,0.09404008408634047,0.11224489795918367,0.1300770284079792,0.08095238095238096,0.09404008408634047,0.42857142857142855,0.49487165930539345,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.08095238095238096
knn,random_undersample,sbert_tfidf_weighted,7,0.4424969987995198,0.0812874914595673,0.18268210050818748,0.053599092463069535,0.7761904761904762,0.19897697538834455,0.29482411768126054,0.08237722657171603,0.7761904761904762,0.19897697538834455,4.0,1.0690449676496976,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.7761904761904762
naive_bayes,none,sbert_tfidf_weighted,7,0.7273709483793518,0.05913799863655962,0.2405067155067155,0.09935400864236403,0.36190476190476195,0.16659862556700855,0.27855002140716423,0.10542877906343336,0.36190476190476195,0.16659862556700855,1.8571428571428572,0.8329931278350429,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.36190476190476195
naive_bayes,class_weight,sbert_tfidf_weighted,7,0.7273709483793518,0.05913799863655962,0.2405067155067155,0.09935400864236403,0.36190476190476195,0.16659862556700855,0.27855002140716423,0.10542877906343336,0.36190476190476195,0.16659862556700855,1.8571428571428572,0.8329931278350429,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.36190476190476195
naive_bayes,random_undersample,sbert_tfidf_weighted,7,0.6409363745498199,0.05232634134651124,0.22450416063861445,0.07909495521925135,0.6142857142857142,0.2747912008810192,0.32694723822543365,0.12324404486945545,0.6142857142857142,0.2747912008810192,3.142857142857143,1.355261854357877,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6142857142857142
