issue_id,in_recovar,recovar_issue_state,in_classification,smell_label,issue_state_ours,has_dep_change_commits,dep_change_missing_recovar,smelly_missing_recovar,dep_mr_count,dep_commit_count,dep_files_with_dep_changes
1869,True,closed,True,no_smell,closed,False,False,False,0,0,0
1872,False,,True,no_smell,closed,False,False,False,0,0,0
1878,False,,True,no_smell,closed,False,False,False,0,0,0
1880,True,closed,True,no_smell,closed,False,False,False,0,0,0
1882,True,closed,True,no_smell,closed,False,False,False,0,0,0
1887,False,,True,no_smell,closed,False,False,False,0,0,0
1890,False,,True,no_smell,closed,False,False,False,0,0,0
1891,False,,True,no_smell,closed,False,False,False,0,0,0
1893,False,,True,no_smell,closed,False,False,False,0,0,0
1894,False,,True,no_smell,closed,False,False,False,0,0,0
1895,False,,True,no_smell,closed,True,True,False,1,2,2
1896,False,,True,no_smell,closed,False,False,False,0,0,0
1900,False,,True,no_smell,closed,False,False,False,0,0,0
1902,True,closed,True,no_smell,closed,False,False,False,0,0,0
1904,True,closed,True,smell,closed,True,False,False,1,6,19
1905,False,,True,no_smell,closed,False,False,False,0,0,0
1908,False,,True,no_smell,closed,False,False,False,0,0,0
1910,True,closed,True,smell,closed,True,False,False,1,6,19
1911,False,,True,no_smell,closed,False,False,False,0,0,0
1912,True,closed,True,smell,closed,True,False,False,1,1,1
1914,False,,True,no_smell,closed,False,False,False,0,0,0
1919,False,,True,no_smell,closed,False,False,False,0,0,0
1921,False,,True,no_smell,closed,False,False,False,0,0,0
1924,False,,True,no_smell,opened,False,False,False,0,0,0
1926,False,,True,no_smell,closed,False,False,False,0,0,0
1927,True,closed,True,no_smell,closed,False,False,False,0,0,0
1931,True,opened,True,no_smell,opened,True,False,False,1,4,3
1932,False,,True,no_smell,opened,False,False,False,0,0,0
1936,False,,True,no_smell,closed,False,False,False,0,0,0
1937,False,,True,no_smell,closed,False,False,False,0,0,0
1938,False,,True,no_smell,closed,False,False,False,0,0,0
1940,False,,True,no_smell,closed,False,False,False,0,0,0
1942,False,,True,no_smell,closed,False,False,False,0,0,0
1943,True,closed,True,no_smell,closed,False,False,False,0,0,0
1945,False,,True,no_smell,closed,True,True,False,1,1,4
1947,True,closed,True,no_smell,closed,False,False,False,0,0,0
1948,False,,True,no_smell,closed,False,False,False,0,0,0
1949,False,,True,no_smell,closed,False,False,False,0,0,0
1950,False,,True,no_smell,closed,False,False,False,0,0,0
1951,False,,True,no_smell,closed,False,False,False,0,0,0
1955,False,,True,no_smell,closed,False,False,False,0,0,0
1956,True,closed,True,no_smell,closed,False,False,False,0,0,0
1957,False,,True,no_smell,closed,True,True,False,1,1,1
1958,True,closed,True,no_smell,closed,True,False,False,1,1,1
1961,False,,True,no_smell,closed,False,False,False,0,0,0
1964,False,,True,no_smell,closed,False,False,False,0,0,0
1966,True,closed,True,no_smell,closed,False,False,False,0,0,0
1967,False,,True,no_smell,closed,True,True,False,1,3,6
1969,False,,True,no_smell,closed,False,False,False,0,0,0
1971,True,opened,True,no_smell,opened,False,False,False,0,0,0
1973,True,closed,True,smell,closed,True,False,False,1,7,8
1976,True,closed,True,no_smell,closed,False,False,False,0,0,0
1977,True,closed,True,no_smell,closed,True,False,False,1,1,1
1979,False,,True,no_smell,closed,True,True,False,1,1,3
1980,False,,True,no_smell,opened,False,False,False,0,0,0
1983,True,opened,True,no_smell,opened,True,False,False,1,4,3
1984,False,,True,no_smell,closed,True,True,False,1,1,1
1986,True,closed,True,no_smell,closed,False,False,False,0,0,0
1987,False,,True,no_smell,closed,False,False,False,0,0,0
1988,True,closed,True,no_smell,closed,False,False,False,0,0,0
1990,False,,True,no_smell,closed,True,True,False,1,1,1
1991,False,,True,no_smell,closed,False,False,False,0,0,0
1993,False,,True,no_smell,closed,False,False,False,0,0,0
1995,False,,True,no_smell,closed,False,False,False,0,0,0
1996,False,,True,no_smell,closed,False,False,False,0,0,0
2002,True,closed,True,no_smell,closed,False,False,False,0,0,0
2003,True,closed,True,no_smell,closed,False,False,False,0,0,0
2006,False,,True,no_smell,closed,True,True,False,1,1,4
2011,False,,True,no_smell,closed,False,False,False,0,0,0
2012,True,closed,True,smell,closed,True,False,False,1,9,19
2013,True,opened,True,no_smell,opened,False,False,False,0,0,0
2017,False,,True,no_smell,closed,False,False,False,0,0,0
2018,True,closed,True,no_smell,closed,False,False,False,0,0,0
2019,False,,True,smell,closed,True,True,True,1,2,6
2020,False,,True,smell,closed,True,True,True,1,2,6
