backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
luna,run3,CorefOnly,bigbluebutton,0.588406,0.132767,0.216649,0.157096,0.415842,0.310651,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run3,FullNameOnly,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run3,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,bigbluebutton,0.676128,0.132113,0.219475,0.157092,0.404741,0.301174,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,jabref,0.333333,0.039187,0.070130,0.047585,0.028986,0.018727,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,mediastore,1.000000,0.322034,0.475165,0.369102,0.568740,0.457013,0.000000,0.000000,0.000000,0.000000
luna,average,CorefOnly,teammates,0.930536,0.210572,0.337770,0.247709,0.235418,0.162859,0.109302,0.075627,0.216631,0.157109
luna,average,CorefOnly,teastore,0.961024,0.376238,0.534203,0.426354,0.574603,0.469934,0.111111,0.079365,0.191693,0.156331
luna,average,Full,bigbluebutton,0.724675,0.888380,0.797813,0.849660,0.880602,0.883803,0.555556,0.608466,0.826058,0.842308
luna,average,Full,jabref,0.963181,1.000000,0.980575,0.991964,0.978100,0.991045,0.866667,0.939394,0.967059,0.986406
luna,average,Full,mediastore,0.841133,0.807909,0.824130,0.814308,0.918532,0.931559,0.654545,0.647482,0.936451,0.930054
luna,average,Full,teammates,0.771938,0.808489,0.789602,0.800778,0.629407,0.562596,0.414815,0.564081,0.702397,0.752332
luna,average,Full,teastore,0.979374,0.971711,0.975326,0.973106,0.957568,0.968082,0.913753,0.897293,0.980086,0.979095
luna,average,FullNameOnly,bigbluebutton,0.781883,0.806627,0.792156,0.800310,0.801763,0.753715,0.553050,0.464791,0.768700,0.722475
luna,average,FullNameOnly,jabref,0.963181,1.000000,0.980575,0.991964,0.978100,0.991045,0.866667,0.939394,0.967059,0.986406
luna,average,FullNameOnly,mediastore,0.822308,0.706215,0.759788,0.726698,0.858810,0.843325,0.576923,0.551471,0.885571,0.857155
luna,average,FullNameOnly,teammates,0.789592,0.778560,0.783868,0.780634,0.620986,0.526096,0.719981,0.652929,0.773948,0.746809
luna,average,FullNameOnly,teastore,0.996121,0.726544,0.840177,0.768088,0.849206,0.796859,0.666667,0.555556,0.854178,0.785511
luna,average,PartialNameOnly,bigbluebutton,0.413281,0.071506,0.120082,0.085255,0.270749,0.198581,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,teammates,0.033333,0.000700,0.001371,0.000870,0.005510,0.003671,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,CorefOnly,bigbluebutton,0.902803,0.126662,0.217288,0.151951,0.265473,0.186848,0.000000,0.000000,0.000000,0.000000
terra,average,CorefOnly,jabref,0.597234,0.116352,0.193431,0.138381,0.179487,0.126811,0.000000,0.000000,0.000000,0.000000
terra,average,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.130435,0.000000,0.000000,0.000000,0.000000
terra,average,CorefOnly,teammates,0.958247,0.183401,0.298424,0.216540,0.216253,0.148690,0.066890,0.045208,0.139584,0.104604
terra,average,CorefOnly,teastore,1.000000,0.298916,0.459348,0.347413,0.425134,0.317374,0.000000,0.000000,0.000000,0.000000
